CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
H8AK00132,"SHEIN, DIMITRI",C,1,DEM,0.0,0.0,367.52,0.0,367.52,0.0,0.0,0.0,0.0,367.52,0.0,0.0,0.0,AK,0,,,,,,0.0,0.0,09/30/2019,0.0,0.0
H6AK00045,"YOUNG, DONALD E",I,2,REP,1012401.48,130245.48,325545.51,0.0,116720.12,803576.09,0.0,0.0,0.0,0.0,0.0,0.0,417190.55,AK,0,,,,,,458194.63,0.0,03/31/2020,0.0,2000.0
H8AK01031,"NELSON, THOMAS JOHN",C,2,REP,0.0,0.0,466.51,0.0,466.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,0,,,,,,0.0,0.0,03/31/2019,0.0,0.0
H8AK00140,"GALVIN, ALYSE",C,3,IND,1358372.81,0.0,403275.92,0.0,6245.09,961341.98,2955.81,0.0,0.0,0.0,0.0,56940.58,1279739.8,AK,0,,,,,,38350.0,0.0,03/31/2020,7836.19,0.0
H0AL01097,"AVERHART, JAMES",O,1,DEM,50126.74,0.0,40699.28,0.0,0.0,9427.46,0.0,26845.0,0.0,0.0,0.0,26845.0,23281.74,AL,1,,,,,,0.0,0.0,06/30/2020,0.0,0.0
H0AL01105,"GARDNER, KIANI A",O,1,DEM,107745.54,0.0,97834.67,0.0,0.0,9910.87,764.97,6000.0,0.0,0.0,0.0,6000.0,82980.57,AL,1,,,,,,18000.0,0.0,06/24/2020,0.0,0.0
H0AL01139,"COLLINS, FREDERICK G. RICK'",O,1,DEM,62935.42,0.0,60792.47,0.0,0.0,2142.95,56500.0,0.0,0.0,0.0,0.0,0.0,5917.12,AL,1,,,,,,0.0,0.0,03/31/2020,0.0,0.0
H0AL01055,"CARL, JERRY LEE, JR",O,2,REP,1729202.1,0.0,1490276.33,0.0,0.0,238925.77,1655.5,758900.0,0.0,191900.0,0.0,567000.0,831409.6,AL,1,,,,,,92200.0,0.0,06/24/2020,400.0,0.0
H0AL01063,"LAMBERT, DOUGLAS WESTLEY III",O,2,REP,182564.96,0.0,182564.96,0.0,0.0,0.0,47804.96,110000.0,0.0,38388.87,0.0,71611.13,20760.0,AL,1,,,,,,4000.0,0.0,03/31/2020,0.0,0.0
H0AL01071,"PRINGLE, CHRISTOPHER PAUL",O,2,REP,491715.7,0.0,491715.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464115.7,AL,1,,,,,,27600.0,0.0,06/17/2020,1300.0,5000.0
